id,condition,phase,target_word,english_word,cue,answer,trial_id,distance_score,accuracy_score
1631836708,picture,Testing 1,kelb,dog,Slide19.jpeg,gato,1,4,0
1631836708,picture,Testing 1,gari,car,Slide12.jpeg,cati,2,2,0.5
1631836708,picture,Testing 1,fupa,bone,Slide8.jpeg,rizi,3,4,0
1631836708,text,Testing 1,muundi,leg,Slide33.jpeg,lugi,4,4,0.333333333
1631836708,picture,Testing 1,mlango,door,Slide20.jpeg,dazi,5,5,0.166666667
1631836708,picture,Testing 1,daraja,bridge,Slide11.jpeg,rizi,6,5,0.166666667
1631836708,picture,Testing 1,muhindi,corn,Slide16.jpeg,malili,7,4,0.428571429
1631836708,picture,Testing 1,riza,chain,Slide13.jpeg,raza,8,1,0.75
1631836708,picture,Testing 1,safina,boat,Slide7.jpeg,bunda,9,5,0.166666667
1631836708,text,Testing 1,chaka,sun,Slide40.jpeg,chakra,10,1,0.8
1631836708,text,Testing 1,jaja,plant,Slide37.jpeg,pinha,11,4,0
1631836708,text,Testing 1,jiti,tree,Slide41.jpeg,rila ,12,4,0
1631836708,picture,Testing 1,papatiko,arm,Slide1.jpeg,papiti,13,3,0.625
1631836708,text,Testing 1,ufunguo,key,Slide30.jpeg,rilizi,14,7,0
1631836708,text,Testing 1,pua,nose,Slide35.jpeg,nija,15,3,0
1631836708,text,Testing 1,maliki,king,Slide31.jpeg,matiki,16,1,0.833333333
1631836708,text,Testing 1,samki,fish,Slide24.jpeg,pua,17,5,0
1631836708,picture,Testing 1,bao,bench,Slide5.jpeg,roza,18,4,0
1631836708,text,Testing 1,duwara,wheel,Slide42.jpeg,vindana,19,5,0.166666667
1631836708,picture,Testing 1,jaluba,box,Slide10.jpeg,buja,20,4,0.333333333
1631836708,picture,Testing 1,kitanda,bed,Slide4.jpeg,kitiki,21,4,0.428571429
1631836708,text,Testing 1,geli,knife,Slide32.jpeg,gili,22,1,0.75
1631836708,picture,Testing 1,kanisa,church,Slide15.jpeg,pinana,23,4,0.333333333
1631836708,text,Testing 1,mkono,hand,Slide26.jpeg,papalingu,24,8,0
1631836708,text,Testing 1,simu,phone,Slide36.jpeg,riza,25,3,0.25
1631836708,text,Testing 1,wardi,rose,Slide38.jpeg,ruja,26,5,0
1631836708,text,Testing 1,chapeo,hat,Slide27.jpeg,hatata,27,5,0.166666667
1631836708,text,Testing 1,jumba,house,Slide29.jpeg,hutata,28,4,0.2
1631836708,picture,Testing 1,chimbule,bird,Slide6.jpeg,bija,29,7,0.125
1631836708,picture,Testing 1,dubu,bear,Slide3.jpeg,buja,30,3,0.25
1631836708,text,Testing 1,juya,net,Slide34.jpeg,neta,31,3,0.25
1631836708,text,Testing 1,farasi,horse,Slide28.jpeg,huja,32,5,0.166666667
1631836708,text,Testing 1,fia,snake,Slide39.jpeg,snuja,33,4,0
1631836708,text,Testing 1,jicho,eye,Slide22.jpeg,inca,34,4,0.2
1631836708,picture,Testing 1,dawati,desk,Slide18.jpeg,tuju,35,6,0
1631836708,text,Testing 1,uwa,fence,Slide23.jpeg,finti,36,5,0
1631836708,picture,Testing 1,andiko,book,Slide9.jpeg,libru,37,6,0
1631836708,text,Testing 1,bunduki,gun,Slide25.jpeg,lizi,38,6,0.142857143
1631836708,picture,Testing 1,kiti,chair,Slide14.jpeg,ruja,39,4,0
1631836708,picture,Testing 1,rinda,dress,Slide21.jpeg,triti,40,4,0.2
1631836708,picture,Testing 1,kipira,ball,Slide2.jpeg,buja,41,5,0.166666667
1631836708,picture,Testing 1,kidoto,cup,Slide17.jpeg,muja,42,6,0
1631836708,picture,Testing 2,mlango,door,Slide20.jpeg,kiti,43,6,0
1631836708,picture,Testing 2,rinda,dress,Slide21.jpeg,kidoto,44,5,0
1631836708,text,Testing 2,duwara,wheel,Slide42.jpeg,wuja,45,4,0.333333333
1631836708,picture,Testing 2,jaluba,box,Slide10.jpeg,buja,46,4,0.333333333
1631836708,picture,Testing 2,andiko,book,Slide9.jpeg,kidoto,47,4,0.333333333
1631836708,picture,Testing 2,chimbule,bird,Slide6.jpeg,brindi,48,7,0.125
1631836708,picture,Testing 2,kanisa,church,Slide15.jpeg,malika,49,3,0.5
1631836708,text,Testing 2,ufunguo,key,Slide30.jpeg,uongo,50,3,0.571428571
1631836708,picture,Testing 2,kelb,dog,Slide19.jpeg,kelb,51,0,1
1631836708,picture,Testing 2,gari,car,Slide12.jpeg,macini,52,4,0
1631836708,picture,Testing 2,safina,boat,Slide7.jpeg,rowti,53,6,0
1631836708,text,Testing 2,geli,knife,Slide32.jpeg,gali,54,1,0.75
1631836708,picture,Testing 2,dubu,bear,Slide3.jpeg,bumbo,55,3,0.25
1631836708,text,Testing 2,maliki,king,Slide31.jpeg,maliki,56,0,1
1631836708,picture,Testing 2,kitanda,bed,Slide4.jpeg,akiti,57,5,0.285714286
1631836708,picture,Testing 2,dawati,desk,Slide18.jpeg,kuti,58,4,0.333333333
1631836708,text,Testing 2,wardi,rose,Slide38.jpeg,kalia,59,4,0.2
1631836708,text,Testing 2,fia,snake,Slide39.jpeg,umi,60,3,0
1631836708,text,Testing 2,chaka,sun,Slide40.jpeg,chaka,61,0,1
1631836708,text,Testing 2,simu,phone,Slide36.jpeg,ria,62,3,0.25
1631836708,text,Testing 2,jaja,plant,Slide37.jpeg,flora,63,4,0
1631836708,text,Testing 2,uwa,fence,Slide23.jpeg,fiti,64,4,0
1631836708,picture,Testing 2,riza,chain,Slide13.jpeg,rua,65,2,0.5
1631836708,text,Testing 2,chapeo,hat,Slide27.jpeg,capote,66,4,0.333333333
1631836708,text,Testing 2,juya,net,Slide34.jpeg,nuti,67,3,0.25
1631836708,picture,Testing 2,kiti,chair,Slide14.jpeg,rocci,68,4,0
1631836708,picture,Testing 2,bao,bench,Slide5.jpeg,buo,69,1,0.666666667
1631836708,text,Testing 2,bunduki,gun,Slide25.jpeg,lemi,70,6,0.142857143
1631836708,picture,Testing 2,muhindi,corn,Slide16.jpeg,mazi,71,5,0.285714286
1631836708,text,Testing 2,muundi,leg,Slide33.jpeg,mafifi,72,4,0.333333333
1631836708,picture,Testing 2,kipira,ball,Slide2.jpeg,bula,73,5,0.166666667
1631836708,text,Testing 2,farasi,horse,Slide28.jpeg,ferti,74,3,0.5
1631836708,text,Testing 2,pua,nose,Slide35.jpeg,mua,75,1,0.666666667
1631836708,picture,Testing 2,papatiko,arm,Slide1.jpeg,mushi,76,7,0.125
1631836708,text,Testing 2,jumba,house,Slide29.jpeg,casi,77,5,0
1631836708,text,Testing 2,mkono,hand,Slide26.jpeg,diti,78,5,0
1631836708,picture,Testing 2,kidoto,cup,Slide17.jpeg,mula,79,6,0
1631836708,picture,Testing 2,fupa,bone,Slide8.jpeg,thizi,80,5,0
1631836708,picture,Testing 2,daraja,bridge,Slide11.jpeg,rula,81,4,0.333333333
1631836708,text,Testing 2,jicho,eye,Slide22.jpeg,tuji,82,5,0
1631836708,text,Testing 2,samki,fish,Slide24.jpeg,pesci,83,4,0.2
1631836708,text,Testing 2,jiti,tree,Slide41.jpeg,pantini,84,5,0
1632109156,picture,Testing 1,dawati,desk,Slide18.jpeg,dwahiti,1,3,0.5
1632109156,picture,Testing 1,safina,boat,Slide7.jpeg,chimlupe,2,8,0
1632109156,picture,Testing 1,dubu,bear,Slide3.jpeg,dubu,3,0,1
1632109156,text,Testing 1,samki,fish,Slide24.jpeg,samli,4,1,0.8
1632109156,picture,Testing 1,andiko,book,Slide9.jpeg,rita,5,5,0.166666667
1632109156,picture,Testing 1,kitanda,bed,Slide4.jpeg,chimlupe,6,7,0
1632109156,text,Testing 1,jicho,eye,Slide22.jpeg,jicho,7,0,1
1632109156,text,Testing 1,jaja,plant,Slide37.jpeg,jaja,8,0,1
1632109156,text,Testing 1,jumba,house,Slide29.jpeg,kitanda,9,6,0
